,C1,C2,C3,C4,C5
Austria,-0.7721503475595454,1.043521329639982,-0.8079720001562795,0.3673196701484434,0.5529218727524263
Belgium,-0.9007729763478592,-1.3337567673645938,-1.1033377024482265,-0.42650980781543085,0.5187214320781851
Belgium,-0.9007729763478592,-1.3337567673645938,-1.1033377024482265,-0.42650980781543085,0.5187214320781851
Bulgaria,1.5343973219900815,-0.06073166966533022,1.2232087439252988,-1.906187940291913,0.053732457007794096
Bulgaria,1.5343973219900815,-0.06073166966533022,1.2232087439252988,-1.906187940291913,0.053732457007794096
Croatia,0.9245111379739177,0.4428503910275182,0.0767395058390114,0.577803432109229,-0.9444110579286163
Cyprus,-0.33058429113664517,0.06459831197760077,-0.2551376175599016,-0.009545074668290129,-1.0469733848618137
Czechia,-1.3373389607229156,0.7180390609020496,-0.6693185155404233,-1.0608137409644984,-1.6732059474386065
Denmark,-1.6442072816536608,-0.38953955409587293,1.5678737463697612,0.2084287129015838,0.3943714094709802
Estonia,0.5398574058354155,0.580981873242303,-0.1050270185941519,0.38140859594937854,1.107496395835759
Finland,-0.9709117561044678,-0.16919843363480236,-1.0806592460463877,0.1661168181939976,-1.1330022162115807
France,-0.3091048034016772,-1.1239920113181339,-0.2692311028936298,-0.6782021377508626,-0.20607182713969616
Germany,-0.10791268517376862,0.4144881992507591,0.38770002846061075,-2.1639681338185794,0.3396610269384005
Greece,1.4043703803509078,-1.2284024769481643,-0.025447994475853858,1.6409508711520684,-1.8165344456065513
Hungary,-0.25073216571506307,0.8320710441955866,-0.1264294107988931,-0.5979804116389184,-2.0980465080891437
Iceland,0.12779137590564163,1.5829103921737082,0.0028358083768434926,0.06051478023917487,-0.7318191230597292
Ireland,-0.6811508740484312,0.1875763165768869,-0.4090383722012371,-0.13626524980402618,-0.6987510202433219
Italy,0.7481343683335832,-1.6689589249030348,-0.6466862741134687,0.9440965289328823,0.8315608732569226
Latvia,0.9576195527143465,0.4639394773436506,0.364535080478168,-0.32409496264660154,2.06511499697074
Liechtenstein,-0.5455629704391006,-0.31478863554277986,2.0072631664752856,0.9462995809368749,0.15452241438008182
Lithuania,0.39050435864989796,0.5435213060361361,-0.02019690047333682,-0.1423539564038712,1.236678149989566
Luxembourg,0.013748040120418392,-0.6290167413379316,-0.4020522824976626,-0.4326356293860776,1.4474933355805004
Malta,-0.792854431498727,1.3011013177334583,2.131694307509942,1.1053188678279091,0.4116400624321188
Montenegro,1.3083174663328507,-0.16164554677295603,1.2180151793900642,-1.4522762681902088,-0.14370802877398123
Netherlands,-0.7582212519776185,0.8326151489807885,-0.5774019234690748,-0.372382142992903,0.5359629697781096
Norway,-1.122631851348749,-0.8034263503481774,-0.9504348233346239,-0.9523074932948923,1.0036720363040685
Poland,-0.6718756431782302,0.6318022352203899,-0.7099315808065163,0.026745620448024393,0.5546735180737778
Portugal,0.6258352821754952,-0.35363236950779553,-0.2696567546033785,0.5239853636847399,-0.3702994284433293
Romania,0.652519931878762,0.48860771846704937,-0.5143863120045793,1.6165723131305083,1.8782462261605843
Serbia,1.495654316436695,-0.9136798842658957,0.723481528190108,-0.163096326348269,-0.6867579406366976
Slovakia,-0.9260711261026446,-1.2018343656404593,1.7307141126825831,0.6269743596269532,-1.4396927963715656
Slovenia,-1.057829598409034,-0.42795194038016027,-0.8522808513304667,-0.8379862003613459,0.041194751729532436
Spain,1.3086518367595774,-1.558318438153367,-0.5448674422194378,1.7348402054042729,0.15483866979690944
Sweden,0.08620892057679952,-0.6427827384280527,-0.7865841320212545,0.8761227897469721,-0.6986350372389225
Switzerland,-1.4234329008889817,1.417117039976833,1.5548191383891075,1.6806164244563304,0.4994024488748609
Türkiye,1.8515998740304789,2.8304041225927397,-1.9826731299751017,0.5051882895947127,-0.6664501744537897
