GEO,Graduation rate,Life satisfaction,Poverty risk,Hours worked,Unemployment
Austria,-0.3277364299443844,1.347377316366066,-0.497985225175021,0.5753821346974988,-0.9052506527780523
Belgium,-0.3277364299443844,0.832091373846465,-1.001141781624662,-1.8191057446530603,0.1659736405020389
Belgium,-0.3277364299443844,0.832091373846465,-1.001141781624662,-1.8191057446530603,0.1659736405020389
Bulgaria,-0.3277364299443844,-2.603148242950866,1.3636940336886507,-0.015258208875639131,-0.191101123924658
Bulgaria,-0.3277364299443844,-2.603148242950866,1.3636940336886507,-0.015258208875639131,-0.191101123924658
Croatia,-0.3277364299443844,-0.5420044728724671,0.6341170268366709,1.0782245893611162,0.7164639023265301
Cyprus,-0.07124704998791011,0.14504345048699974,-0.724405675577359,0.12841106388539442,0.0023143734731363615
Czechia,-0.3277364299443844,0.48856741216673316,-2.0326127223464256,0.12042943762089256,-1.3218378779425324
Denmark,2.2371573696203626,0.6603293930065991,-1.1017730929145897,-0.7575494514743125,-0.9350068831469436
Estonia,-0.3277364299443844,0.14504345048699974,0.98632661635142,0.5753821346974988,-0.057198087264646806
Finland,-0.3277364299443844,1.0038533546863326,-1.4791405102518203,-0.3025967543977062,0.0023143734731363615
France,-0.07124704998791011,-0.1984805111927337,-0.5986165364649488,-1.2843367849314355,0.2701204467931588
Germany,-0.3277364299443844,-1.0572904153920666,-0.17093346348275423,-0.374431390778223,-1.5003752601558809
Greece,-0.07124704998791011,-0.713766453712333,0.7347483381265997,0.272080336646428,2.7398875674111474
Hungary,-0.3277364299443844,-0.3702424920325996,-1.0262996094471437,0.8707023064840678,-0.5332977731669095
Iceland,-0.3277364299443844,0.007633865815106374,0.0001397657101235814,1.5970302965537373,-0.7415913857491495
Ireland,-0.07124704998791011,0.48856741216673316,-0.9508261259796975,-0.007276582611137267,-0.3845166213224524
Italy,-0.3277364299443844,0.14504345048699974,0.8605374772390099,-1.1486491384349038,1.8769568867132957
Latvia,-0.3277364299443844,-0.5420044728724671,1.6907457953809166,0.24813545785292238,-0.3398822757691151
Liechtenstein,2.2371573696203626,0.007633865815106374,0.0001397657101235814,-1.3302710439916935e-05,-0.0006612495637532462
Lithuania,-0.3277364299443844,-0.026718530352867732,0.8353796494165274,0.3119884679689373,-0.4142728516913437
Luxembourg,-0.3277364299443844,0.14504345048699974,0.357380920789369,-1.012961491938372,-0.027441856895755488
Malta,2.2371573696203626,0.48856741216673316,0.05548698691958379,1.3416182560896777,-1.1433004957291837
Montenegro,-0.07124704998791011,-2.2596242812711327,1.137273583286312,-1.3302710439916935e-05,-0.0006612495637532462
Netherlands,-0.3277364299443844,0.832091373846465,-0.5734587086424668,0.19226407400140932,-1.1581786109136294
Norway,-0.3277364299443844,0.832091373846465,-1.0262996094471437,-1.675436471892027,-0.667200809826921
Poland,-0.3277364299443844,1.0038533546863326,-0.4728273973525386,0.1523559426789,-0.7713476161180408
Portugal,-0.3277364299443844,-0.1984805111927337,0.43285440425681443,0.11244781135639069,0.9545137452776618
Romania,-0.3277364299443844,1.0038533546863326,1.4643253449785785,0.7190514074585324,0.582560865666519
Serbia,-0.07124704998791011,-1.7443383387515334,1.137273583286312,-0.1349826028431671,1.3859790856265872
Slovakia,2.2371573696203626,-0.1984805111927337,-1.1017730929145897,-0.7096596938873013,0.5230484049287363
Slovenia,-0.3277364299443844,0.6603293930065991,-1.2527200598494823,-1.084796128318889,-0.6374445794580293
Spain,-0.3277364299443844,-0.026718530352867732,1.263062722398722,-0.4702109059522454,2.6357407611200268
Sweden,-0.3277364299443844,0.48856741216673316,-0.24640694695020054,-0.198835612959182,1.1330511274910102
Switzerland,2.2371573696203626,1.5191392972059319,-0.497985225175021,1.3336366298251758,-1.232569186835858
Türkiye,-2.892630229509132,0.007633865815106374,1.4391675171560963,3.201337175718612,-0.0006612495637532462
